"TERM_NO","EXEC_DATE","ITEM_CD","DATA1","DATA2","DATA_FOR"
"60017","2020-02-01 13:43:08","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151008","FKK1403105035000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151008"
"60017","2020-02-01 13:43:10","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151007","FKK1403105034000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151007"
"60017","2020-02-01 13:43:13","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151006","FKK1403105033000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151006"
"60017","2020-02-01 13:43:15","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151005","FKK1403105032000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151005"
"60017","2020-02-01 13:43:17","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151002","FKK1403105031000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151002"
"60017","2020-02-01 13:43:22","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151021","FKK1403105036000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151021"
"60017","2020-02-01 13:43:25","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151019","FKK1403105037000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151019"
"60017","2020-02-01 13:43:28","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151022","FKK1403105038000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151022"
"60017","2020-02-01 13:43:30","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151023","FKK1403105039000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151023"
"60017","2020-02-01 13:43:32","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151024","FKK1403105040000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151024"
"60017","2020-02-01 13:43:37","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151020","FKK1403105021000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151020"
"60017","2020-02-01 13:43:39","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151009","FKK1403105022000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151009"
"60017","2020-02-01 13:43:41","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151013","FKK1403105023000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151013"
"60017","2020-02-01 13:43:43","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151014","FKK1403105024000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151014"
"60017","2020-02-01 13:43:45","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151015","FKK1403105025000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151015"
"60017","2020-02-01 13:43:49","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151016","FKK1403105026000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151016"
"60017","2020-02-01 13:43:51","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151010","FKK1403105027000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151010"
"60017","2020-02-01 13:43:53","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151011","FKK1403105028000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151011"
"60017","2020-02-01 13:43:55","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151012","FKK1403105029000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151012"
"60017","2020-02-01 13:43:58","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151001","FKK1403105030000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151001"
"60017","2020-02-01 13:44:01","897529-9420","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151003","FKK1403105016000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130901897529-9420              20200130     5JA308975299420               2020013090151003"
"60017","2020-02-01 13:44:03","897529-9420","GAK1A02620200130001897529-9420              20200130     5JA308975299420               2020013000151017","FKK1403105017000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130001897529-9420              20200130     5JA308975299420               2020013000151017"
"60017","2020-02-01 13:44:05","897529-9420","GAK1A02620200130001897529-9420              20200130     5JA308975299420               2020013000151018","FKK1403105018000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130001897529-9420              20200130     5JA308975299420               2020013000151018"
"60017","2020-02-01 13:44:07","897529-9420","GAK1A02620200130001897529-9420              20200130     5JA308975299420               2020013000151019","FKK1403105019000005000005202002038975299420PUMP ASM;OIL    TBKK  1S     ","GAK1A02620200130001897529-9420              20200130     5JA308975299420               2020013000151019"
